ID,Name,Address,Latitude,Longitude,Notes,Aliases
32,Beccles,"Beccles, NR34 9RH",52.4562916,1.572636,,
1,Braintree,"Robbswood, Beckers Green Road, Braintree, Essex CM7 3PR",51.8764264,0.5790873,,
2,Brentwood,"King George's Playing Fields, Ingrave Rd, Brentwood CM13 2AQ",51.6115079,0.3160561,,
3,Bury,"The GK IPA Haberden, Southgate Grn, Bury Saint Edmunds IP33 2BL",52.2293,0.7085,,
4,Cambridge,"Fields, Ellgia, Grantchester Rd, Cambridge CB3 9ED",52.1829,0.0993,,
5,Chelmsford,"Coronation Park, Timsons Ln, Springfield, Chelmsford CM2 6AG",51.7399193,0.4950153,,
6,Colchester,"Raven Park, Cuckoo Farm Way, Colchester CO4 5YX",51.9194,0.9259,,
7,Crusaders,"Beckhithe, Little Melton Rd, Hethersett, Norwich NR9 3NP",52.6106217,1.1813909,,
8,Diss,"Bellrope Ln, Roydon, Diss IP22 5RG",52.383274,1.07904,,
9,Eton Manor,"The New Wilderness, Nutter Ln, London E11 2JA",51.5783324,0.036706,,
10,F&S Barbarians,,0,0,,
11,Fakenham,"Eckersley Dr, Fakenham NR21 9RZ",52.8410931,0.8412776,,
12,HAC,"HAC Armoury House, City Rd, London EC1Y 2BQ",51.5229501,-0.0909604,,
13,Harlow,"Latton Park, Howard Way, Latton Bush, Harlow CM20 3FD",51.7661264,0.1137884,,
14,Haverhill,"School Ln, Haverhill CB9 9DE",52.084039,0.4184581,,
15,Holt,"Bridge Rd, Holt NR25 6QT",52.9130816,1.1081743,,
16,Ipswich,"Humber Doucy Lane, Ipswich IP4 3PZ",52.0715004,1.1959668,,
17,Lakenham Union,"Norwich Sports Ground, Main Rd, Swardeston, Norwich NR14 8DU",52.582411,1.2526419,,
18,Lowestoft & Yarmouh,"Old Ln, Corton, Lowestoft NR32 5HE",52.5080705,1.7361474,,
19,Newmarket,"Pavilion, Scatlback, Elizabeth Ave, Newmarket CB8 0DJ",52.2533999,0.3880533,,
20,North Walsham,"Road, The Clubhouse, Scottow, Norwich NR10 5BU",52.760951,1.3682356,,
21,Rochford Hundred,"The Rugby Park, Magnolia Rd, Rochford SS4 3AD",51.6014557,0.6743792,,
22,Shelford,"The Davey Field, Cambridge Rd, Great Shelford, Cambridge CB22 5JJ",52.1587446,0.1240375,,
23,Southwold,"The Common, Southwold IP18 6TB",52.3270181,1.6681319,,
24,Stowmarket,"Chilton Fields, Chilton Way, Stowmarket IP14 1SZ",52.1952855,0.9723984,,
25,UEA,"Norwich Research Park, Colney Lane, Norwich NR4 7TJ",52.6225544,1.2221927,,
26,Wanstead,"Roding Ln N, Woodford, Woodford Green IG8 8JY",51.5968115,0.0544049,,
27,West Norfolk,"Gate House/Gate House La, King's Lynn PE30 3RJ",52.7955611,0.2816534,,
28,Wisbech,"Chapel Rd, Wisbech PE13 1RG",52.6672446,0.1562595,,
29,Woodbridge,"Hatchley Barn, Orford Rd, Bromeswell, Woodbridge IP12 2PP",52.1029813,1.3760001,,
30,Woodford,"High Road, Woodford Green, Essex IG8 9LB",51.606739,0.0110343,,
31,Wymondham,"Barnard Fields, off Bray Dr, Reeve Way, Wymondham NR18 0GQ",52.5900641,1.1401406,,
