Date,U12B,U13B,U14B,U15B,U16B,U18B,U12G,U14G,U16G,U18G
06/09/2026,Club Registration,Club Registration,Club Registration,Club Registration,Club Registration,Club Registration,Club Registration,Club Registration,Club Registration,Club Registration
13/09/2026,,Training,Training,Training,Training,Training,,,,
20/09/2026,,Training,Training,Letchworth (A),Beccles (A),Conference,Skills Session,,,
27/09/2026,,West Norfolk (A),Norfolk Tens (H),Norfolk Tens (H),Norfolk Tens (H),Conference,,Skills Session,Festival,Festival
04/10/2026,,Training,West Norfolk (H),West Norfolk (H),West Norfolk (H),Nat Cup,Festival,Festival,,
11/10/2026,,Cambridge (H),Cambridge (A),Cambridge (H),Cambridge (A),Stow Festival,,,Nat Cup,Nat Cup
18/10/2026,Norfolk U12 Festival,Bury (H),Bury (A),Bury (H),Bury (A),Conference,Conference,Conference,Conference,Conference
18/10/2026,,,,,,St Joes Festival,,,,St Joes Festival
25/10/2026,,Fakenham/Swaffham (A),Ely (H),Ely (H),Holt (A),CB County U18,,,,Player Pathway
01/11/2026,,Training,Crusaders (H),Training,Training,CB County U18,,,,CB / Pathway
08/11/2026,,Shelford (H),Shelford (A),Shelford (FNL),Shelford (H),Conference,,,Nat Cup,Nat Cup
15/11/2026,,Diss (H),Diss (A),Diss (H),Diss (A),Nat Cup,Conference,Conference,Conference,Conference
22/11/2026,,Holt (H),Woodbridge (H) x2,TBC,EC U16 Festival @Ipswich,CB County U18,,,Nat Cup,Nat Cup
29/11/2026,,EC Festival (1),Training,Brentwood (A),Training,Conference,Festival,Festival,,CB / Pathway
06/12/2026,,North Walsham (A) tbc,Training,Colchester (A),North Walsham (H),CB County U18,Conference,Conference,Conference,Conference
13/12/2026,,Training,County Cup,County Cup,County Cup,Nat Cup,,,Playing Opportunity,CB
13/12/2026,,,,,,Conference,,,,
20/12/2026,,L&Y (H),Holt (H),TBC,L&Y (A),CB County U18,Conference,Conference,Conference,Conference
10/01/2027,,Training,County Cup,County Cup,County Cup,Cup / Plate,Conference,Conference,Conference,Conference
17/01/2027,,Crusaders (H),County Cup,County Cup,County Cup,Cup / Plate,,,,CB / Pathway
24/01/2027,,Wymondham (A),Wymondham (H),Ipswich (A),Wymondham (A),,Conference,Conference,Conference,Conference
31/01/2027,,EC Festival (2),County Cup,County Cup,County Cup,Cup / Plate,,,Nat Cup,
07/02/2027,,Diss (A),County Cup,County Cup,County Cup,Cup / Plate,,,Playing Opportunity,Nat Cup
14/02/2027,,Holt (A),Training,Training,Crusaders (A),,,,,CB
21/02/2027,,Ipswich (A),Ipswich (H),Cambridge (A) tbc,Ipswich (A),,,,,Player Pathway
28/02/2027,,Saffron Walden (H),Saffron Walden (A),TBC,Beccles (H),,Festival,Festival,Nat Cup,Festival
28/02/2027,,,,,,,,,Festival,
07/03/2027,Mothering Sunday,Mothering Sunday,Mothering Sunday,Mothering Sunday,Mothering Sunday,Mothering Sunday,Mothering Sunday,Mothering Sunday,Mothering Sunday,Mothering Sunday
14/03/2027,Norfolk U12 Festival,Newmarket (H),Newmarket (H),Ipswich (H),Newmarket (A),,Conference,Conference,Conference,Conference
21/03/2027,,Fakenham/Swaffham (H),Ely (A),Ely (A),Training,,,,Playing Opportunity,
28/03/2027,Easter,Easter,Easter,Easter,Easter,Easter,Easter,Easter,Easter,Player Pathway
28/03/2027,,,,Academy - Tigers,,,,,,
04/04/2027,,L&Y(A),Training,Colchester (H),L&Y (H),,,,,
11/04/2027,,Training,Training,Colchester Festival (A),Training,Cup / Plate,,,,
18/04/2027,,EC Festival (3),County Cup,County Cup,County Cup,Cup / Plate Semis,,,Playing Opportunity,
25/04/2027,,Training,Colchester Festival (A),Saffron Walden (A),Training,Cup / Plate Finals,Conference Finals,Conference Finals,Conference Finals,Conference Finals
02/05/2027,,,Norfolk Big Day,Norfolk Big Day,Norfolk Big Day,CB County U17,,,,
,,,,,,Colts Sevens,,Norfolk Big Day,Norfolk Big Day,Norfolk Big Day
